Number,Text
02,"The bulk of the academic library of Volgadon University, presumed lost when Volgadon (and the rest of Lone Star) was left uninhabitable during the Amaris Civil War. Doesn't include the more specialist doctorate and higher level libraries."
03,"A collection of doctorate-level technical manuals on Star League terraforming. Quite literally, the chance to save worlds. Or to own them."
04,"A collection of doctorate-level technical manuals on Star League medicine. Start your own Canopus with blackjack and hookersâ€¦ er, more blackjack and hookers."
05,"A complete and detailed record of SLDF court martial proceedings. Specifically, that of the SLDF vs a Captain K. Marik, regarding conduct on Pollux. May be the last remaining copy in the Inner Sphere."
06,"A copy of every book published by every major publisher on New Kyoto, in English, German and Japanese between 2935 and 2941."
07,"An extensive collection of romantic novels and short stories, prominently including a signed copy of the published correspondence of Ian Cameron and Shandra Noruff (the signatures alone make this priceless)"
08,"625 hand-written (brushed?) first-edition copies of the Dictatum Honorarium."
09,"A complete set of 'Mech Maintenance for Dummies books, 2750 edition."
10,"A collection of doctorate-level technical manuals on SLDF military hardware. The Great Houses would sell their own children for these. No, not just Kurita and Liao."
11,"A collection of doctorate-level technical manuals on hyperphysics. You might not want Blakists to learn about these."
12,"A basic technical field library, standard issue for the Star League Department of Mega-Engineering. Everything up to post-doctorate level texts in the relevant areas. This does include some terraforming, but more 'turn Mars into a semi-habitable world' than the specifics covered by full terraforming."

